Order Number,Delivery Distance (miles),Order Size,Order Type,Total Dollars,Store Location,Delivered On Time,Test Phase,Predicted Delivered On Time
1,8.110001360341872,4,In-person,31.35,Store B,Yes,Pre-Test,Yes
2,5.177948334221196,9,Online,69.71,Store C,No,Pre-Test,Yes
3,5.447080933168833,7,Phone,21.49,Store B,No,Pre-Test,Yes
4,9.63656503761849,2,Phone,29.38,Store A,Yes,Pre-Test,Yes
5,3.20238100723027,9,Phone,33.11,Store B,Yes,Pre-Test,No
6,7.735693895197589,7,Online,62.6,Store A,No,Pre-Test,No
7,5.9603743338865725,5,Online,59.7,Store A,Yes,Pre-Test,Yes
8,7.157585384801364,3,Phone,56.76,Store C,Yes,Pre-Test,Yes
9,4.46926579192068,9,Online,18.77,Store B,Yes,Pre-Test,Yes
10,3.15247162016055,7,Phone,80.21,Store B,Yes,Pre-Test,No
11,5.6881965475048775,3,Phone,21.86,Store C,No,Pre-Test,No
12,4.061940890350146,5,Online,94.49,Store B,No,Pre-Test,Yes
13,2.6176561988818072,3,In-person,15.87,Store B,Yes,Pre-Test,Yes
14,8.472743407080744,3,Phone,89.2,Store C,No,Pre-Test,Yes
15,5.020400152512266,7,Phone,36.8,Store A,No,Pre-Test,No
16,8.549499541313544,9,Phone,72.98,Store B,Yes,Pre-Test,Yes
17,5.003300032504743,5,Phone,39.99,Store A,Yes,Pre-Test,No
18,5.789578128267877,4,Phone,74.8,Store C,Yes,Pre-Test,Yes
19,9.955162292482571,4,Online,53.3,Store C,Yes,Pre-Test,No
20,9.539290014334018,3,Online,57.41,Store A,No,Pre-Test,No
21,3.081053771335461,8,Phone,74.48,Store B,No,Pre-Test,No
22,8.752226171267608,1,Online,22.02,Store A,No,Pre-Test,No
23,4.208833095123335,3,In-person,33.97,Store B,No,Pre-Test,No
24,1.1768630101487312,2,In-person,85.67,Store A,Yes,Pre-Test,Yes
25,5.9699196408413036,7,Online,81.08,Store C,Yes,Pre-Test,No
26,9.781992664815236,6,Online,99.13,Store B,Yes,Pre-Test,No
27,9.75598002655021,1,Phone,12.07,Store B,Yes,Pre-Test,No
28,1.7014210925434465,3,Phone,22.8,Store B,No,Pre-Test,No
29,7.826748332869574,4,In-person,40.36,Store C,Yes,Pre-Test,Yes
30,8.126913920376971,7,Online,72.41,Store C,Yes,Pre-Test,Yes
31,4.00307545100827,3,Online,38.4,Store B,No,Pre-Test,No
32,6.756654221290477,4,In-person,41.14,Store C,Yes,Pre-Test,Yes
33,5.137515043633607,7,In-person,30.47,Store A,No,Pre-Test,No
34,2.6649844282443036,4,Online,91.86,Store A,No,Pre-Test,No
